enchant	v. 使着迷，使迷惑 
endemic	adj. 地方性的 n. 地方病 
enervate	vt. 使衰弱，使失去活力 adj. 衰弱的，无力的 
enjoin	vt. 命令 
epigram	n. 警句 
equable	adj. 平静的 
equitable	adj. 公平的，公正的 
expendable	adj. 可消费的 n. 消耗品 
extant	adj. 现存的 
extraction	n. 取出 
extravagant	adj. 奢侈的 
fad	n. 时尚 
fallow	adj. 休耕的 n. 休耕地 vt. 使（土地）休闲 n. (Fallow)人名 
fiscal	adj. 会计的，财政的 n. (Fiscal)人名 
fitful	adj. 一阵阵的 
forbear	vt. 忍耐 vi. 忍耐 n. 祖先 
grasping	adj. 贪婪的 v. 抓紧，抓牢 
groundbreaking	adj. 开创性的 n. 动工 
gust	n. 风味 vi. 一阵阵地劲吹 n. (Gust)人名 
hereafter	adv. （法律文件等）以下 n. 死后生活 adj. 今后的，此后的 
homely	adj. 家庭的 
imposing	adj. 壮观的 
impute	vt. 归罪于，归咎于 
induct	vt. 引导 
instigate	vt. 唆使 
inter	v. 埋葬（遗体） n. (Inter) （巴）因特（人名） 
intimate	adj. 亲密的 n. 知己 vt. 暗示 
jigsaw	n. 拼图玩具 vt. 用线锯锯 
lavish	adj. 浪费的 vt. 浪费 
leaven	n. 酵母 v. 改变 
lethal	adj. 致命的，致死的 n. 致死因子 
lionize	vt. 把……奉为名人 vi. 游览名胜 
locution	n. 说话风格 
lot	n. 份额 adv. （与形容词和副词连用）很，非常 pron. 大量，许多 vt. 分组，把…划分（常与out连用） vi. 抽签，拈阄 
ludicrous	adj. 滑稽的 
lurid	adj. 可怕的，耸人听闻的 
meddle	v. 干涉，管闲事，干预他人之事 
memoir	n. 回忆录 
menace	n. 威胁 vi. 恐吓 vt. 威胁 
merriment	n. 欢笑 
mortgage	n. 抵押 v. 抵押 
mosque	n. 清真寺 
murky	adj. 黑暗的 
mushroom	n. 蘑菇，伞菌 adj. 蘑菇的 vi. 迅速增加 
natal	adj. 出生的 n. (Natal)人名 
nautical	adj. 航海的，海上的 
nexus	n. 关系 
nirvana	n. 涅槃 n. (Nirvana)人名 
nonentity	n. 不存在 
nullify	vt. 使无效，作废 
off-key	adj. 不和谐的 
onset	n. 开始，着手 
opaque	adj. 不透明的 n. 不透明物 vt. 使不透明 
oppurtune	
opt	vi. 选择 
outlaw	n. 歹徒，罪犯 v. 宣布……为不合法 n. (Outlaw) （美）奥特洛（人名） 
outmode	v. （使）过时，不流行 
outpour	n. 流出物 vt. 流出 vi. 流出 
outright	adj. 完全的，彻底的 adv. 全部地 
outspoken	adj. 坦率的，直言不讳的 
overshadow	v. 使失色 
oversight	n. 监督，照管 
pact	n. 协定 
paddle	n. 划桨 vt. 拌 vi. 划桨 
pendemic	
papyrus	n. 纸莎草 
peek	v. 窥视，偷看 n. 偷看 n. (Peek) （美、德、英）皮克（人名） 
peep	v. 窥视，偷看 n. 窥视 n. (Peep) （美、荷、瑞）佩普（人名） 
pennant	n. 细长三角旗 n. (Pennant)人名 
petty	adj. 琐碎的 n. (Petty)人名 
